GLON,GLAT
4.548483,-0.781395
5.020029,0.90111
11.818667,-0.0258
12.741267,-0.0004
17.225237,-0.584033
17.784417,0.034222
28.141688,-0.192917
28.141976,-0.192786
28.729475,-0.539626
36.399831,-0.466475
41.581565,-0.884437
42.908694,-0.888909
47.824267,-0.3903
48.707895,0.961547
54.574569,-0.511079
54.657243,-0.256119
55.307833,0.810834
57.4744,-0.3873
58.441232,-0.470409
59.217833,0.396467
59.545904,0.776002
61.3505,-0.1085
63.349203,-0.768282
299.362072,0.731691
299.398377,0.888066
302.037426,-0.528374
302.373292,-0.0235
306.6815,0.015125
314.143892,-0.682605
316.873061,-0.599138
317.039057,-0.49782
318.527084,0.504229
318.729619,-0.097762
321.402694,0.652191
322.552422,0.815422
324.32325,0.317
325.245517,-0.799997
333.445875,0.356375
335.104583,-0.066792
335.517,-0.378042
341.646681,0.804627
341.857467,-0.842779
350.457146,-0.041708
350.101407,0.389093
350.455667,-0.045167
357.148741,-0.57213
357.737833,-0.092033